id,zh
KEY_NEW_UNIT,新单位
KEY_NEW_BUILDING,新建筑
KEY_NO_DESC,无描述
KEY_UI_BUILD_COMMAND,建造: %s
KEY_UI_PRODUCE_COMMAND,生产: %s
KEY_UI_DEV_PREFIX,[开发者]
KEY_UNIT_ATTACK_HELICOPTER,武装直升机
KEY_UNIT_BATTLESHIP,战列舰
KEY_UNIT_BUILDER,建造者
KEY_UNIT_FIGHTER,战斗机
KEY_UNIT_GUNBOAT,机枪艇
KEY_UNIT_HEAVY_TANK,重型坦克
KEY_UNIT_HELICOPTER,直升机
KEY_UNIT_TINY_TANK,小型坦克
KEY_UNIT_TARGET_DUMMY,靶子
KEY_BUILDING_COLLECTOR,资源采集器
KEY_BUILDING_WAR_FACTORY,战争工厂
KEY_BUILDING_SHIPYARD,造船厂
KEY_BUILDING_HANGAR,机库
KEY_BUILDING_COMMAND_CENTRE,指挥中心
KEY_BUILDING_ANTI_AIR_TURRENT,防空导弹塔
KEY_BUILDING_BUNKER,地堡
KEY_BUILDING_MACHINE_GUN_BUNKER,机枪地堡


